time,total_demand,heating_demand,cooling_demand,humidity,radiation_global_horizontal,temperature,wind_speed_2m,bait
2024-03-08 22:00:00,2.0652621597382277,2.0652621597382277,0.0,81,0,4.6,9.4,6.939560025200226
2024-03-08 22:15:00,2.0613624304105214,2.0613624304105214,0.0,82,0,4.4,9.4,6.952891894331906
2024-03-08 22:30:00,2.057475522309066,2.057475522309066,0.0,82,0,4.3,9.4,6.966179931982954
2024-03-08 22:45:00,2.053602626205616,2.053602626205616,0.0,83,0,4.2,9.7,6.9794200673033595
2024-03-08 23:00:00,2.044547971539947,2.044547971539947,0.0,83,0,4.2,9.7,6.9926082294431104
2024-03-08 23:15:00,2.0407164110505267,2.0407164110505267,0.0,84,0,4.1,9.7,7.005740347552195
2024-03-08 23:30:00,2.036902390290776,2.036902390290776,0.0,84,0,4.1,9.8,7.018812350780605
2024-03-08 23:45:00,2.0331070970133442,2.0331070970133442,0.0,85,0,4.0,9.8,7.031820168278324
2024-03-09 00:00:00,2.0808228072990502,2.0808228072990502,0.0,85,0,3.9,9.8,7.044759729195346
2024-03-09 00:15:00,2.076973273442176,2.076973273442176,0.0,85,0,3.8,9.8,7.057626962681655
2024-03-09 00:30:00,2.0731465959179056,2.0731465959179056,0.0,85,-1,3.8,9.5,7.070417797887243
2024-03-09 00:45:00,2.0693439926162345,2.0693439926162345,0.0,85,0,3.7,9.1,7.083128163962098
2024-03-09 01:00:00,2.0975290667249196,2.0975290667249196,0.0,85,0,3.7,9.1,7.095753990056207
2024-03-09 01:15:00,2.093720225992304,2.093720225992304,0.0,85,0,3.7,9.1,7.108291205319561
2024-03-09 01:30:00,2.0899395422110896,2.0899395422110896,0.0,85,0,3.7,9.4,7.120735738902147
2024-03-09 01:45:00,2.086188252116788,2.086188252116788,0.0,85,0,3.7,9.4,7.1330835199539555
2024-03-09 02:00:00,2.089055365127429,2.089055365127429,0.0,85,0,3.7,9.4,7.145330477624974
2024-03-09 02:15:00,2.085354903319503,2.085354903319503,0.0,85,0,3.7,9.4,7.157472541065191
2024-03-09 02:30:00,2.081687650127388,2.081687650127388,0.0,85,0,3.7,9.1,7.169505639424596
2024-03-09 02:45:00,2.0780548461989428,2.0780548461989428,0.0,85,0,3.7,8.8,7.1814257018531755
2024-03-09 03:00:00,2.064015251213552,2.064015251213552,0.0,85,0,3.7,8.9,7.193228657500922
2024-03-09 03:15:00,2.0604729891373124,2.0604729891373124,0.0,85,0,3.6,8.8,7.204910435517821
2024-03-09 03:30:00,2.056968706120699,2.056968706120699,0.0,85,0,3.5,8.8,7.216466965053862
2024-03-09 03:45:00,2.0535036365663513,2.0535036365663513,0.0,85,0,3.5,9.1,7.227894175259035
2024-03-09 04:00:00,2.05093647919833,2.05093647919833,0.0,85,0,3.5,9.0,7.239187995283327
2024-03-09 04:15:00,2.0475521248310393,2.0475521248310393,0.0,85,0,3.4,9.0,7.250344354276727
2024-03-09 04:30:00,2.044210705084221,2.044210705084221,0.0,85,0,3.3,9.0,7.261359181389226
2024-03-09 04:45:00,2.040913454876815,2.040913454876815,0.0,85,0,3.3,9.0,7.27222840577081
2024-03-09 05:00:00,2.079174504107975,2.079174504107975,0.0,85,0,3.3,9.0,7.282947956571468
2024-03-09 05:15:00,2.0759039986723713,2.0759039986723713,0.0,85,0,3.3,9.0,7.293513762941189
